state,population
CA,37253956
TX,25145561
NY,19378102
FL,18801310
IL,12830632
PA,12702379
OH,11536504
MI,9883640
GA,9687653
NC,9535483
NJ,8791894
VA,8001024
WA,6724540
MA,6547629
IN,6483802
AZ,6392017
TN,6346105
MO,5988927
MD,5773552
WI,5686986
MN,5303925
CO,5029196
AL,4779736
SC,4625364
LA,4533372
KY,4339367
OR,3831074
OK,3751351
CT,3574097
IA,3046355
MS,2967297
AR,2915918
KS,2853118
UT,2763885
NV,2700551
NM,2059179
WV,1852994
NE,1826341
ID,1567582
HI,1360301
ME,1328361
NH,1316470
RI,1052567
MT,989415
DE,897934
SD,814180
AK,710231
ND,672591
VT,625741
WY,563626
