contb_receipt_dt,contb_receipt_amt
01-APR-11,16
01-AUG-11,1154
01-FEB-11,1
01-JAN-11,3
01-JUL-11,750
01-JUN-11,787
01-MAR-11,1
01-MAY-11,156
01-SEP-11,2641
02-APR-11,6
02-AUG-11,1007
02-JUL-11,170
02-JUN-11,1457
02-MAR-11,16
02-MAY-11,808
02-SEP-11,1716
03-APR-11,7
03-AUG-11,995
03-FEB-11,4
03-JAN-11,2
03-JUL-11,112
03-JUN-11,752
03-MAR-11,62
03-MAY-11,589
03-SEP-11,324
04-APR-11,1942
04-AUG-11,4392
04-FEB-11,1
04-JAN-11,2
04-JUL-11,236
04-JUN-11,309
04-MAR-11,81
04-MAY-11,591
04-SEP-11,454
05-APR-11,676
05-AUG-11,1298
05-JUL-11,549
05-JUN-11,1636
05-MAR-11,56
05-MAY-11,1490
05-SEP-11,385
06-APR-11,364
06-AUG-11,242
06-JUL-11,599
06-JUN-11,837
06-MAR-11,29
06-MAY-11,582
06-SEP-11,1629
07-APR-11,358
07-AUG-11,177
07-FEB-11,5
07-JUL-11,386
07-JUN-11,1311
07-MAR-11,45
07-MAY-11,156
07-SEP-11,1966
08-APR-11,404
08-AUG-11,878
08-FEB-11,4
08-JUL-11,416
08-JUN-11,1046
08-MAR-11,50
08-MAY-11,190
08-SEP-11,2679
09-APR-11,123
09-AUG-11,703
09-FEB-11,5
09-JUL-11,125
09-JUN-11,631
09-MAR-11,43
09-MAY-11,675
09-SEP-11,1781
10-APR-11,131
10-AUG-11,751
10-FEB-11,1
10-JUL-11,124
10-JUN-11,634
10-MAR-11,31
10-MAY-11,709
10-SEP-11,427
11-APR-11,482
11-AUG-11,721
11-FEB-11,1
11-JUL-11,811
11-JUN-11,210
11-MAR-11,15
11-MAY-11,807
11-SEP-11,291
12-APR-11,550
12-AUG-11,1097
12-FEB-11,1
12-JAN-11,6
12-JUL-11,808
12-JUN-11,221
12-MAR-11,8
12-MAY-11,508
12-SEP-11,1375
13-APR-11,571
13-AUG-11,304
13-FEB-11,1
13-JAN-11,7
13-JUL-11,981
13-JUN-11,1067
13-MAR-11,9
13-MAY-11,782
13-SEP-11,1449
14-APR-11,526
14-AUG-11,548
14-FEB-11,1
14-JAN-11,11
14-JUL-11,944
14-JUN-11,886
14-MAR-11,7
14-MAY-11,523
14-SEP-11,2998
15-APR-11,580
15-AUG-11,1205
15-FEB-11,1
15-JAN-11,2
15-JUL-11,678
15-JUN-11,2234
15-MAR-11,9
15-MAY-11,241
15-SEP-11,1847
16-APR-11,122
16-AUG-11,1111
16-FEB-11,3
16-JAN-11,2
16-JUL-11,211
16-JUN-11,1790
16-MAR-11,9
16-MAY-11,2028
16-SEP-11,2803
17-APR-11,129
17-AUG-11,1012
17-FEB-11,2
17-JAN-11,1
17-JUL-11,166
17-JUN-11,932
17-MAR-11,25
17-MAY-11,470
17-SEP-11,4330
18-APR-11,737
18-AUG-11,1057
18-FEB-11,4
18-JAN-11,2
18-JUL-11,798
18-JUN-11,333
18-MAR-11,13
18-MAY-11,1526
18-SEP-11,1746
19-APR-11,499
19-AUG-11,1278
19-JUL-11,2102
19-JUN-11,307
19-MAR-11,11
19-MAY-11,906
19-SEP-11,2847
20-APR-11,815
20-AUG-11,3819
20-JAN-11,2
20-JUL-11,797
20-JUN-11,957
20-MAR-11,4
20-MAY-11,865
20-SEP-11,2145
21-APR-11,712
21-AUG-11,811
21-FEB-11,1
21-JAN-11,1
21-JUL-11,1091
21-JUN-11,1369
21-MAR-11,35
21-MAY-11,208
21-SEP-11,2400
22-APR-11,666
22-AUG-11,1171
22-FEB-11,3
22-JAN-11,1
22-JUL-11,1164
22-JUN-11,1716
22-MAR-11,38
22-MAY-11,203
22-SEP-11,2581
23-APR-11,69
23-AUG-11,1132
23-FEB-11,2
23-JUL-11,246
23-JUN-11,1460
23-MAR-11,11
23-MAY-11,566
23-SEP-11,2917
24-APR-11,60
24-AUG-11,986
24-FEB-11,2
24-JAN-11,1
24-JUL-11,188
24-JUN-11,1207
24-MAR-11,35
24-MAY-11,771
24-SEP-11,732
25-APR-11,808
25-AUG-11,2261
25-JUL-11,1162
25-JUN-11,719
25-MAR-11,8
25-MAY-11,473
25-SEP-11,1068
26-APR-11,794
26-AUG-11,1923
26-JAN-11,5
26-JUL-11,1335
26-JUN-11,548
26-MAR-11,5
26-MAY-11,527
26-SEP-11,3464
27-APR-11,511
27-AUG-11,360
27-JAN-11,2
27-JUL-11,737
27-JUN-11,2448
27-MAR-11,3
27-MAY-11,552
27-SEP-11,5787
28-APR-11,1664
28-AUG-11,884
28-FEB-11,7
28-JAN-11,2
28-JUL-11,1629
28-JUN-11,1850
28-MAR-11,81
28-MAY-11,280
28-SEP-11,5492
29-APR-11,774
29-AUG-11,1364
29-JAN-11,2
29-JUL-11,1063
29-JUN-11,3396
29-MAR-11,65
29-MAY-11,57
29-SEP-11,5808
30-APR-11,210
30-AUG-11,884
30-JUL-11,210
30-JUN-11,7375
30-MAR-11,64
30-MAY-11,85
30-SEP-11,14171
31-AUG-11,1834
31-JAN-11,3
31-JUL-11,164
31-MAR-11,42
31-MAY-11,836
