contbr_st,contb_receipt_amt
AA,15
AB,1
AE,123
AK,705
AL,1511
AP,83
AR,732
AS,8
AZ,4262
CA,33613
CO,4085
CT,3533
DC,3527
DE,563
FF,41
FL,11991
FM,1
GA,6066
GU,26
HI,1091
IA,1627
ID,919
IL,10584
IN,2276
KS,1191
KY,1230
LA,2529
MA,8611
MD,6500
ME,1086
MI,4602
MN,3847
MO,2655
MP,6
MS,645
MT,627
NC,4267
ND,275
NE,650
NH,1485
NJ,5239
NM,1466
NV,1820
NY,16662
OH,4197
OK,1525
ON,1
OR,2764
PA,6850
PR,207
RI,712
SC,1640
SD,312
TN,2582
TX,19929
UK,1
UT,3128
VA,7119
VI,120
VT,792
WA,5859
WI,2563
WV,509
WY,532
XX,99
ZZ,56
